id;qualification;institution;start_date;end_date;slug
1;neural Cotton;morph;2021-05-14T10:56:17;2021-05-13T21:00:06;../fake-data/blob/hipster.txt
2;Jersey blue;open-source Gorgeous Saudi;2021-05-14T06:59:52;2021-05-13T23:56:26;../fake-data/blob/hipster.txt
3;Ergonomic;Cambridgeshire Australia Branding;2021-05-14T10:58:32;2021-05-14T17:16:46;../fake-data/blob/hipster.txt
4;hub plum 24/365;calculating;2021-05-13T23:15:50;2021-05-14T11:52:23;../fake-data/blob/hipster.txt
5;adapter Home;Central Vermont seize;2021-05-14T10:55:14;2021-05-14T08:10:07;../fake-data/blob/hipster.txt
6;Security Virtual;Distributed Fantastic;2021-05-14T04:10:28;2021-05-14T18:12:44;../fake-data/blob/hipster.txt
7;architect Sleek;Nebraska PNG;2021-05-14T08:12:08;2021-05-14T17:21:31;../fake-data/blob/hipster.txt
8;Borders Versatile Analyst;Car payment;2021-05-14T03:18:34;2021-05-13T21:40:36;../fake-data/blob/hipster.txt
9;Cambridgeshire line Romania;Supervisor;2021-05-14T10:01:12;2021-05-14T09:20:46;../fake-data/blob/hipster.txt
10;cohesive;optimal bandwidth;2021-05-14T05:59:47;2021-05-13T23:15:52;../fake-data/blob/hipster.txt
